id,date,distance,very_active_distance,steps,calories
6,2019-05-23,3.028,0,4548,199
6,2019-05-24,2.395,0,3543,125
6,2019-05-25,2.717,0,4017,103
6,2019-05-26,1.503,0,2038,75
6,2019-05-27,0.272,0,409,30
6,2019-05-28,3.942,0,5359,162
6,2019-05-29,4.448,0,6028,198
6,2019-05-30,4.998,0,6737,250
6,2019-05-31,2.969,0,4171,143
6,2019-06-01,1.99,0,2780,103
6,2019-06-02,1.032,0,1410,51
6,2019-06-03,0.683,0,1027,53
6,2019-06-04,2.392,0,3489,112
6,2019-06-05,2.867,0,4231,103
6,2019-06-06,4.486,0,6016,174
6,2019-06-07,2.204,0,3195,87
6,2019-06-08,4.461,0,5932,201
6,2019-06-09,2.083,0,2996,80
6,2019-06-10,3.125,0,4343,136
6,2019-06-11,4.022,0,5611,206
6,2019-06-12,2.621,0,3772,116
6,2019-06-13,6.32,0,8322,266
6,2019-06-14,4.741,0,6703,198
6,2019-06-15,1.44,0,1949,75
6,2019-06-16,2.944,0,4308,119
6,2019-06-17,3.797,0,5437,158
6,2019-06-18,1.636,0,2302,80
6,2019-06-19,2.949,0,4432,141
6,2019-06-20,6.158,0,8156,323
6,2019-06-21,3.891,0,5224,189
6,2019-06-22,4.711,0,6624,199
6,2019-06-23,1.33,0,1721,63
6,2019-06-24,5.26,0,7408,201
6,2019-06-25,1.593,0,2386,75
6,2019-06-26,4.182,0,5932,155
6,2019-06-27,3.653,0,5389,155
6,2019-06-28,4.402,0,6021,197
6,2019-06-29,1.263,0,1898,82
6,2019-06-30,1.92,0,2674,109
6,2019-07-01,3.315,0,4608,167
6,2019-07-02,1.989,0,2803,102
6,2019-07-03,2.161,0,3158,91
6,2019-07-04,0.018,0,27,3
