id,date,calories,steps,distance,sedentary_minutes,lightly_active_minutes,fairly_active_minutes,very_active_minutes
1,2015-09-28,2874,8995,6.68,826,171,45,33
1,2015-09-29,2757,7553,5.61,789,163,54,15
1,2015-09-30,2714,6494,4.83,711,208,26,5
1,2015-10-01,2712,7951,5.91,667,191,40,9
1,2015-10-02,2809,7424,5.52,801,179,43,25
1,2015-10-03,2322,6813,5.06,1315,75,41,9
1,2015-10-04,2319,3991,2.97,1136,163,0,0
1,2015-10-05,2859,9725,7.23,988,268,24,14
1,2015-10-06,2978,8936,6.64,780,205,46,27
1,2015-10-07,2678,6565,4.88,841,157,27,20
1,2015-10-08,2767,7865,5.84,1118,204,32,13
1,2015-10-09,2549,8718,6.48,976,65,0,0
1,2015-10-10,2918,12364,9.22,1046,234,29,32
1,2015-10-11,2509,5216,3.88,1243,175,17,5
1,2015-10-12,2687,6580,4.89,1246,104,57,33
1,2015-10-13,2698,7015,5.21,1244,130,37,29
1,2015-10-14,2621,8103,6.02,1219,215,4,2
1,2015-10-15,2698,6962,5.17,1234,115,57,28
1,2015-10-16,3295,16478,12.3,643,304,8,43
1,2015-10-17,2871,11603,8.62,732,236,38,22
1,2015-10-18,2899,11429,8.49,962,269,8,17
1,2015-10-19,2581,6293,4.68,854,226,0,0
1,2015-10-20,2672,7269,5.4,1290,105,22,23
1,2015-10-21,2406,4471,3.32,1134,165,0,0
1,2015-10-22,3410,17913,13.31,1053,210,39,75
1,2015-10-23,2511,5431,4.04,678,166,9,13
1,2015-10-24,2907,11672,8.67,663,222,48,29
1,2015-10-25,3435,14777,10.98,597,302,57,39
1,2015-10-26,2931,9171,6.81,767,273,30,7
1,2015-10-27,2867,8807,6.54,810,224,29,12
1,2015-10-28,2470,5623,4.18,779,170,19,3
1,2015-10-29,3109,12910,9.59,1091,258,24,20
1,2015-10-30,2942,8805,6.54,821,170,51,29
1,2015-10-31,2736,7107,5.28,510,277,0,0
1,2015-11-01,2395,3862,2.87,889,166,0,0
1,2015-11-02,2590,7368,5.47,1279,126,22,13
1,2015-11-03,2403,6269,4.66,1430,10,0,0
