id,date,time,heart_rate
5,2019-08-15,17:34,85
5,2019-08-15,17:36,55
5,2019-08-15,17:38,73
5,2019-08-15,17:40,99
5,2019-08-15,18:10,81
5,2019-08-15,18:40,66
5,2019-08-15,19:40,79
5,2019-08-15,20:10,92
5,2019-08-15,20:40,94
5,2019-08-15,21:10,90
5,2019-08-15,22:10,53
5,2019-08-15,23:40,77
5,2019-08-16,00:10,70
5,2019-08-16,00:40,106
5,2019-08-16,01:10,75
5,2019-08-16,01:40,78
5,2019-08-16,02:10,74
5,2019-08-16,02:30,88
5,2019-08-16,02:40,80
5,2019-08-16,03:10,73
5,2019-08-16,03:31,60
5,2019-08-16,03:33,60
5,2019-08-16,03:35,59
5,2019-08-16,03:37,60
5,2019-08-16,03:39,63
5,2019-08-16,03:41,60
5,2019-08-16,03:43,60
5,2019-08-16,03:45,63
5,2019-08-16,03:47,59
5,2019-08-16,03:49,56
5,2019-08-16,03:51,59
5,2019-08-16,03:53,57
5,2019-08-16,03:55,59
5,2019-08-16,03:57,59
5,2019-08-16,03:59,54
5,2019-08-16,04:01,62
5,2019-08-16,04:03,63
5,2019-08-16,04:05,51
5,2019-08-16,04:07,56
5,2019-08-16,04:09,54
5,2019-08-16,04:11,54
5,2019-08-16,04:13,59
5,2019-08-16,04:15,62
5,2019-08-16,04:17,61
5,2019-08-16,04:19,54
5,2019-08-16,04:21,58
5,2019-08-16,04:23,58
5,2019-08-16,04:25,57
5,2019-08-16,04:27,57
5,2019-08-16,04:29,51
5,2019-08-16,04:31,57
5,2019-08-16,04:33,54
5,2019-08-16,04:35,57
5,2019-08-16,04:37,58
5,2019-08-16,04:39,57
5,2019-08-16,04:41,54
5,2019-08-16,04:43,52
5,2019-08-16,04:45,59
5,2019-08-16,04:47,50
5,2019-08-16,04:49,60
5,2019-08-16,04:51,57
5,2019-08-16,04:53,58
5,2019-08-16,04:55,57
5,2019-08-16,04:57,69
5,2019-08-16,04:59,56
5,2019-08-16,05:01,53
5,2019-08-16,05:03,53
5,2019-08-16,05:05,55
5,2019-08-16,05:07,55
5,2019-08-16,05:09,57
5,2019-08-16,05:11,51
5,2019-08-16,05:13,53
5,2019-08-16,05:15,50
5,2019-08-16,05:17,56
5,2019-08-16,05:19,54
5,2019-08-16,05:21,56
5,2019-08-16,05:23,56
5,2019-08-16,05:25,55
5,2019-08-16,05:27,58
5,2019-08-16,05:29,57
5,2019-08-16,05:31,55
5,2019-08-16,05:33,55
5,2019-08-16,05:35,55
5,2019-08-16,05:37,55
5,2019-08-16,05:39,54
5,2019-08-16,05:41,54
5,2019-08-16,05:43,59
5,2019-08-16,05:45,57
5,2019-08-16,05:47,52
5,2019-08-16,05:49,81
5,2019-08-16,05:51,54
5,2019-08-16,05:53,57
5,2019-08-16,05:55,55
5,2019-08-16,05:57,52
5,2019-08-16,05:59,56
5,2019-08-16,06:01,57
5,2019-08-16,06:03,54
5,2019-08-16,06:05,52
5,2019-08-16,06:07,49
5,2019-08-16,06:09,49
5,2019-08-16,06:11,49
5,2019-08-16,06:13,52
5,2019-08-16,06:15,49
5,2019-08-16,06:17,53
5,2019-08-16,06:19,53
5,2019-08-16,06:21,60
5,2019-08-16,06:23,51
5,2019-08-16,06:25,58
5,2019-08-16,06:27,54
5,2019-08-16,06:29,51
5,2019-08-16,06:35,57
5,2019-08-16,06:37,49
5,2019-08-16,06:39,63
5,2019-08-16,06:41,54
5,2019-08-16,06:43,49
5,2019-08-16,06:45,47
5,2019-08-16,06:47,58
5,2019-08-16,06:49,55
5,2019-08-16,06:51,56
5,2019-08-16,06:53,47
5,2019-08-16,06:59,56
5,2019-08-16,07:01,56
5,2019-08-16,07:03,51
5,2019-08-16,07:05,55
5,2019-08-16,07:07,51
5,2019-08-16,07:09,50
5,2019-08-16,07:11,54
5,2019-08-16,07:13,54
5,2019-08-16,07:15,49
5,2019-08-16,07:17,56
5,2019-08-16,07:19,54
5,2019-08-16,07:21,49
5,2019-08-16,07:23,49
5,2019-08-16,07:25,50
5,2019-08-16,07:27,54
5,2019-08-16,07:29,54
5,2019-08-16,07:31,53
5,2019-08-16,07:33,51
5,2019-08-16,07:35,53
5,2019-08-16,07:37,56
5,2019-08-16,07:39,49
5,2019-08-16,07:41,56
5,2019-08-16,07:43,60
5,2019-08-16,07:45,58
5,2019-08-16,07:47,51
5,2019-08-16,07:49,50
5,2019-08-16,07:51,56
5,2019-08-16,07:57,52
5,2019-08-16,07:59,47
5,2019-08-16,08:01,47
5,2019-08-16,08:03,51
5,2019-08-16,08:05,52
5,2019-08-16,08:07,50
5,2019-08-16,08:09,52
5,2019-08-16,08:11,54
5,2019-08-16,08:13,49
5,2019-08-16,08:15,62
5,2019-08-16,08:17,57
5,2019-08-16,08:19,59
5,2019-08-16,08:21,61
5,2019-08-16,08:23,60
5,2019-08-16,08:25,59
5,2019-08-16,08:27,57
5,2019-08-16,08:29,73
5,2019-08-16,08:31,53
5,2019-08-16,08:33,49
5,2019-08-16,08:35,53
5,2019-08-16,08:37,57
5,2019-08-16,08:39,51
5,2019-08-16,08:41,55
5,2019-08-16,08:43,52
5,2019-08-16,08:45,55
5,2019-08-16,08:47,51
5,2019-08-16,08:49,51
5,2019-08-16,08:51,49
5,2019-08-16,08:53,47
5,2019-08-16,08:55,50
5,2019-08-16,08:57,49
5,2019-08-16,08:59,51
5,2019-08-16,09:03,97
5,2019-08-16,09:05,48
5,2019-08-16,09:09,76
5,2019-08-16,09:39,49
5,2019-08-16,10:09,84
5,2019-08-16,10:39,111
5,2019-08-16,11:09,80
5,2019-08-16,11:39,69
5,2019-08-16,13:09,49
5,2019-08-16,13:39,72
5,2019-08-16,14:09,93
5,2019-08-16,14:39,97
5,2019-08-17,01:20,69
5,2019-08-17,01:22,62
5,2019-08-17,01:24,59
5,2019-08-17,01:26,59
5,2019-08-17,01:28,54
5,2019-08-17,01:46,49
5,2019-08-17,01:48,48
5,2019-08-17,01:50,51
5,2019-08-17,01:52,48
5,2019-08-17,01:54,48
5,2019-08-17,01:56,48
5,2019-08-17,01:58,51
5,2019-08-17,02:00,54
5,2019-08-17,02:02,52
5,2019-08-17,02:04,54
5,2019-08-17,02:06,52
5,2019-08-17,02:08,57
5,2019-08-17,02:10,49
5,2019-08-17,02:12,51
5,2019-08-17,02:14,55
5,2019-08-17,02:16,50
5,2019-08-17,02:18,54
5,2019-08-17,02:20,54
5,2019-08-17,02:22,56
5,2019-08-17,02:24,53
5,2019-08-17,02:26,53
5,2019-08-17,02:28,50
5,2019-08-17,02:30,54
5,2019-08-17,02:32,50
5,2019-08-17,02:34,53
5,2019-08-17,02:36,57
5,2019-08-17,02:38,72
5,2019-08-17,02:40,51
5,2019-08-17,02:42,54
5,2019-08-17,02:44,56
5,2019-08-17,02:46,59
5,2019-08-17,02:48,51
5,2019-08-17,02:50,52
5,2019-08-17,02:52,56
5,2019-08-17,02:54,50
5,2019-08-17,02:56,52
5,2019-08-17,02:58,47
5,2019-08-17,03:00,49
5,2019-08-17,03:04,50
5,2019-08-17,03:06,48
5,2019-08-17,03:08,47
5,2019-08-17,03:10,53
5,2019-08-17,03:12,51
5,2019-08-17,03:14,48
5,2019-08-17,03:18,48
5,2019-08-17,03:24,49
5,2019-08-17,03:26,51
5,2019-08-17,03:28,50
5,2019-08-17,03:30,48
5,2019-08-17,03:32,50
5,2019-08-17,03:34,53
5,2019-08-17,03:36,50
5,2019-08-17,03:38,52
5,2019-08-17,03:40,49
5,2019-08-17,03:42,50
5,2019-08-17,03:44,49
5,2019-08-17,03:46,47
5,2019-08-17,03:48,49
5,2019-08-17,03:50,48
5,2019-08-17,03:52,49
5,2019-08-17,03:56,48
5,2019-08-17,03:58,49
5,2019-08-17,04:00,50
5,2019-08-17,04:04,51
5,2019-08-17,04:06,51
5,2019-08-17,04:08,50
5,2019-08-17,04:10,48
5,2019-08-17,04:12,50
5,2019-08-17,04:14,53
5,2019-08-17,04:16,48
5,2019-08-17,04:18,47
5,2019-08-17,04:20,53
5,2019-08-17,04:22,48
5,2019-08-17,04:24,49
5,2019-08-17,04:28,47
5,2019-08-17,04:32,48
5,2019-08-17,04:34,59
5,2019-08-17,04:36,47
5,2019-08-17,04:38,48
5,2019-08-17,04:40,48
5,2019-08-17,04:42,51
5,2019-08-17,04:44,47
5,2019-08-17,04:46,47
5,2019-08-17,04:48,54
5,2019-08-17,04:50,50
5,2019-08-17,04:52,56
5,2019-08-17,04:54,52
5,2019-08-17,04:56,51
5,2019-08-17,04:58,51
5,2019-08-17,05:00,52
5,2019-08-17,05:02,53
5,2019-08-17,05:04,51
5,2019-08-17,05:06,51
5,2019-08-17,05:08,48
5,2019-08-17,05:10,48
5,2019-08-17,05:14,50
5,2019-08-17,05:16,52
5,2019-08-17,05:18,47
5,2019-08-17,05:20,49
5,2019-08-17,05:22,51
5,2019-08-17,05:24,77
5,2019-08-17,05:26,49
5,2019-08-17,05:30,49
5,2019-08-17,05:32,49
5,2019-08-17,05:34,49
5,2019-08-17,05:36,49
5,2019-08-17,05:38,47
5,2019-08-17,05:40,47
5,2019-08-17,05:42,51
5,2019-08-17,05:44,49
5,2019-08-17,05:46,79
5,2019-08-17,05:48,48
5,2019-08-17,05:52,48
5,2019-08-17,05:54,55
5,2019-08-17,05:56,48
5,2019-08-17,05:58,49
5,2019-08-17,06:02,51
5,2019-08-17,06:04,49
5,2019-08-17,06:06,48
5,2019-08-17,06:08,51
5,2019-08-17,06:10,51
5,2019-08-17,06:12,47
5,2019-08-17,06:14,48
5,2019-08-17,06:16,51
5,2019-08-17,06:18,50
5,2019-08-17,06:20,48
5,2019-08-17,06:22,49
5,2019-08-17,06:24,48
5,2019-08-17,06:26,49
5,2019-08-17,06:28,49
5,2019-08-17,06:30,47
5,2019-08-17,06:32,65
5,2019-08-17,06:34,54
5,2019-08-17,06:36,53
5,2019-08-17,06:38,48
5,2019-08-17,06:40,48
5,2019-08-17,06:44,50
5,2019-08-17,06:46,50
5,2019-08-17,06:48,53
5,2019-08-17,06:50,50
5,2019-08-17,06:52,51
5,2019-08-17,06:54,49
5,2019-08-17,06:56,55
5,2019-08-17,06:58,69
5,2019-08-17,07:00,52
5,2019-08-17,07:02,48
5,2019-08-17,07:04,48
5,2019-08-17,07:06,49
5,2019-08-17,07:08,48
5,2019-08-17,07:10,47
5,2019-08-17,07:12,49
5,2019-08-17,07:14,51
5,2019-08-17,07:16,48
5,2019-08-17,07:18,47
5,2019-08-17,07:20,47
5,2019-08-17,07:22,49
5,2019-08-17,07:24,48
5,2019-08-17,07:26,50
5,2019-08-17,07:30,50
5,2019-08-17,07:32,48
